node_id,name,namespace,external_url
Anatomy::UBERON:0000002,uterine cervix,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000002
Anatomy::UBERON:0000004,nose,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000004
Anatomy::UBERON:0000006,islet of Langerhans,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000006
Anatomy::UBERON:0000007,pituitary gland,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000007
Anatomy::UBERON:0000010,peripheral nervous system,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000010
Anatomy::UBERON:0000011,parasympathetic nervous system,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000011
Anatomy::UBERON:0000013,sympathetic nervous system,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000013
Anatomy::UBERON:0000020,sense organ,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000020
Anatomy::UBERON:0000026,appendage,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000026
Anatomy::UBERON:0000029,lymph node,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000029
Anatomy::UBERON:0000033,head,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000033
Anatomy::UBERON:0000038,follicular fluid,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000038
Anatomy::UBERON:0000042,serous membrane,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000042
Anatomy::UBERON:0000043,tendon,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000043
Anatomy::UBERON:0000045,ganglion,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000045
Anatomy::UBERON:0000053,macula lutea,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000053
Anatomy::UBERON:0000054,macula,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000054
Anatomy::UBERON:0000056,ureter,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000056
Anatomy::UBERON:0000057,urethra,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000057
Anatomy::UBERON:0000165,mouth,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000165
Anatomy::UBERON:0000178,blood,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000178
Anatomy::UBERON:0000211,ligament,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000211
Anatomy::UBERON:0000473,testis,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000473
Anatomy::UBERON:0000474,female reproductive system,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000474
Anatomy::UBERON:0000482,basal lamina of epithelium,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000482
Anatomy::UBERON:0000483,epithelium,UBERON,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http://purl.obolibrary.org/obo/UBERON_0000483
